anime_id,title,type,source,score,genre,episode
11013,Inu x Boku SS,TV,Manga,7.63,"Comedy, Supernatural, Romance, Shounen",12
2104,Seto no Hanayome,TV,Manga,7.89,"Comedy, Parody, Romance, School, Shounen",26
5262,Shugo Chara!! Doki,TV,Manga,7.55,"Comedy, Magic, School, Shoujo",51
721,Princess Tutu,TV,Original,8.21,"Comedy, Drama, Magic, Romance, Fantasy",38
12365,Bakuman. 3rd Season,TV,Manga,8.67,"Comedy, Drama, Romance, Shounen",25
6586,Yume-iro Pâtissière,TV,Manga,8.03,"Kids, School, Shoujo",50
178,Ultra Maniac,TV,Manga,7.26,"Magic, Comedy, Romance, School, Shoujo",26
2787,Shakugan no Shana II (Second),TV,Light novel,7.72,"Action, Drama, Fantasy, Romance, School, Supernatural",24
4477,Nodame Cantabile: Paris-hen,TV,Manga,8.24,"Music, Slice of Life, Comedy, Romance, Josei",11
853,Ouran Koukou Host Club,TV,Manga,8.34,"Comedy, Harem, Romance, School, Shoujo",26
4814,Junjou Romantica 2,TV,Manga,8.15,"Comedy, Drama, Romance, Shounen Ai",12
7054,Kaichou wa Maid-sama!,TV,Manga,8.2,"Comedy, Romance, School, Shoujo",26
11123,Sekaiichi Hatsukoi 2,TV,Manga,8.23,"Comedy, Drama, Romance, Shounen Ai",12
14227,Tonari no Kaibutsu-kun,TV,Manga,7.71,"Slice of Life, Comedy, Romance, School, Shoujo",13
269,Bleach,TV,Manga,7.9,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",366
59,Chobits,TV,Manga,7.53,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",26
6045,Kimi ni Todoke,TV,Manga,8.13,"Slice of Life, Drama, Romance, School, Shoujo",25
1735,Naruto: Shippuuden,TV,Manga,8.18,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",500
210,Ranma ½,TV,Manga,7.85,"Slice of Life, Comedy, Martial Arts, Fantasy",161
4224,Toradora!,TV,Light novel,8.39,"Slice of Life, Comedy, Romance, School",25
10030,Bakuman. 2nd Season,TV,Manga,8.49,"Comedy, Drama, Romance, Shounen",25
74,Gakuen Alice,TV,Manga,7.77,"Comedy, School, Shoujo, Super Power",26
4722,Skip Beat!,TV,Manga,8.24,"Comedy, Drama, Romance, Shoujo",25
14397,Chihayafuru 2,TV,Manga,8.47,"Drama, Game, Josei, School, Slice of Life, Sports",25
1557,Shounen Onmyouji,TV,Light novel,7.68,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo",26
10800,Chihayafuru,TV,Manga,8.29,"Drama, Game, Josei, School, Slice of Life, Sports",25
3731,Itazura na Kiss,TV,Manga,7.7,"Comedy, Romance, Shoujo",25
9513,Beelzebub,TV,Manga,8.02,"Action, Comedy, Demons, Supernatural, School, Shounen",60
5835,Hanasakeru Seishounen,TV,Manga,7.87,"Drama, Romance, Shoujo",39
9863,SKET Dance,TV,Manga,8.33,"Comedy, School, Shounen",77
7817,B-gata H-kei,TV,4-koma manga,7.1,"Comedy, Romance, Ecchi, School, Seinen",12
966,Crayon Shin-chan,TV,Manga,7.73,"Slice of Life, Comedy, Ecchi, School, Seinen",0
120,Fruits Basket,TV,Manga,7.77,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",26
957,Saiunkoku Monogatari,TV,Light novel,8.04,"Adventure, Fantasy, Comedy, Romance, Historical, Drama",39
21,One Piece,TV,Manga,8.54,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",0
1974,Glass no Kamen (2005),TV,Manga,8.18,"Drama, Shoujo",51
857,Air Gear,TV,Manga,7.64,"Action, Comedy, Ecchi, Shounen, Sports",25
1914,Saiunkoku Monogatari 2nd Season,TV,Light novel,8.16,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",39
249,InuYasha,TV,Manga,7.9,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",167
6645,Chu-Bra!!,TV,Manga,6.3,"Ecchi, Comedy, School, Seinen",12
5690,Nodame Cantabile Finale,TV,Manga,8.34,"Comedy, Josei, Music, Romance",11
1571,Ghost Hunt,TV,Novel,7.92,"Comedy, Horror, Mystery, Shoujo, Supernatural",25
11759,Accel World,TV,Light novel,7.53,"Action, Game, Sci-Fi, Romance, School",24
7674,Bakuman.,TV,Manga,8.32,"Comedy, Drama, Romance, Shounen",25
1698,Nodame Cantabile,TV,Manga,8.41,"Music, Slice of Life, Comedy, Drama, Romance, Josei",23
14713,Kamisama Hajimemashita,TV,Manga,8.14,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo",13
232,Cardcaptor Sakura,TV,Manga,8.21,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",70
233,Daa! Daa! Daa!,TV,Manga,7.78,"Comedy, Sci-Fi, Shoujo",78
9656,Kimi ni Todoke 2nd Season,TV,Manga,8.12,"Slice of Life, Drama, Romance, School, Shoujo",12
9926,Sekaiichi Hatsukoi,TV,Manga,8.07,"Comedy, Drama, Romance, Shounen Ai",12
2564,Code-E,TV,Original,6.49,"Comedy, Romance, School, Sci-Fi, Slice of Life",12
3092,Junjou Romantica,TV,Manga,7.99,"Comedy, Drama, Romance, Shounen Ai",12
1579,Kiniro no Corda: Primo Passo,TV,Visual novel,7.63,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo",25
32370,D.Gray-man Hallow,TV,Manga,7.92,"Action, Adventure, Super Power, Demons, Shounen",13
11547,Sengoku☆Paradise Kiwami,TV,Unknown,6.2,"Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo",26
33185,Peace Maker Kurogane Movie 1: Omou Michi,Movie,Manga,0,"Action, Comedy, Historical, Samurai, Shounen",1
7518,Boku wa Kuma,Music,Original,5.79,"Kids, Music, Slice of Life",1
16642,Ane Koi: Suki Kirai Daisuki.,OVA,Manga,7.03,Hentai,2
7605,Parasol Henbei,TV,Unknown,6.39,"Adventure, Comedy, Fantasy, Kids, Magic",200
9389,Ginga Hyouryuu Vifam: Kieta 12-nin,OVA,Unknown,6.29,"Sci-Fi, Adventure, Space, Mecha",1
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,OVA,Original,7.4,"Action, Mystery, Horror, Psychological",1
9998,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,OVA,Unknown,6,"Police, Comedy, Romance, Drama",1
153,Juuni Kokuki,TV,Novel,8.13,"Action, Adventure, Fantasy, Magic, Supernatural",45
27417,Diabolik Lovers OVA,OVA,Visual novel,6.04,"Harem, School, Vampire, Shoujo",1
5588,Ko Ko Ro,OVA,Unknown,5.34,Hentai,2
23903,Tuzki: Love Assassin,ONA,Unknown,5.87,"Comedy, Romance",1
13247,Lupin III: Lupin Ikka Seizoroi,Special,Unknown,6.87,"Adventure, Comedy, Seinen",1
33398,Neko Konogoro,TV,Manga,3.44,Comedy,0
1051,Ao no 6-gou,OVA,Manga,7.14,"Action, Adventure, Mecha, Military, Sci-Fi",4
12447,Ben-To Picture Drama,Special,Light novel,6.15,Comedy,6
3294,Gasshin Sentai Mechander Robo,TV,Unknown,6.17,"Space, Mecha, Military, Mystery, Sci-Fi",35
1381,Seikai no Monshou Special,Special,Light novel,7.35,"Action, Military, Romance, Sci-Fi, Space",1
8022,Tegamibachi Gakuen,Special,Original,7.42,Comedy,25
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,ONA,Original,4.32,Comedy,1
33775,Soul Buster,TV,Manga,5.91,"Action, Samurai",12
20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,Special,Unknown,5.86,"Mecha, Military",1
37447,Karakuri Circus,TV,Manga,0,"Adventure, Mystery, Shounen",36
35277,Nanumu no Ie,Movie,Other,4.86,"Drama, Historical",1
14353,Death Billiards,Movie,Original,8.01,"Game, Mystery, Psychological, Drama, Thriller",1
32747,Fake Style II,Music,Music,5.85,Music,1
5235,Live On Cardliver Kakeru,TV,Manga,6.86,"Game, Fantasy",51
8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,Movie,Unknown,6.17,"Adventure, Comedy, Fantasy, Horror, Supernatural",1
5117,Kokudo Oh,OVA,Visual novel,6.08,"Fantasy, Hentai",5
26443,Triage X,TV,Manga,6.41,"Action, Adventure, Ecchi, Shounen",10
16251,Shinkai no Kantai: Submarine 707,OVA,Manga,5.73,"Action, Adventure, Military, Sci-Fi",1
6777,Densha Kamo Shirenai,Music,Music,5.62,Music,1
35594,Ylion to Callysia,Movie,Original,5.86,"Action, Fantasy",1
36847,Nanatsu no Bitoku,TV,Other,5.2,"Ecchi, Fantasy",10
29765,Metropolis (2009),Movie,Unknown,6.26,,1
32561,Hai to Gensou no Grimgar Special,Special,Light novel,6.65,Comedy,1
24275,Medamayaki no Kimi Itsu Tsubusu?,Special,Manga,5.92,"Comedy, Seinen",4
29363,Watashi no Ashinaga Ojisan Specials,Special,Unknown,6.41,"Comedy, Romance, School, Shoujo, Slice of Life",2
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,Movie,Original,5.96,"Adventure, Kids",1
1811,Bounty Dog: Getsumen no Ibu,OVA,Original,5.63,"Action, Sci-Fi, Space",2
5036,Hurricane Live! 2033,Special,Unknown,6.73,Music,7
9690,Densetsu no Yuusha no Densetsu: Iris Report,Special,Unknown,6.6,"Action, Adventure, Fantasy, Magic, Shounen",1
9721,Aisai Nikki,OVA,Visual novel,6.54,Hentai,1
812,Chikyuu Shoujo Arjuna,TV,Original,6.95,"Adventure, Drama, Magic, Sci-Fi",13
19849,Peeping Life 5.0ch,OVA,Original,5.51,"Comedy, Slice of Life",10
7791,K-On!!,TV,4-koma manga,8.14,"Comedy, Music, School, Slice of Life",26
747,Haru wo Daite Ita,OVA,Manga,6.93,"Drama, Romance, Yaoi",2
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Movie,Game,7.13,"Adventure, Comedy, Fantasy, Kids",1
8726,Soredemo Machi wa Mawatteiru,TV,Manga,7.47,"Comedy, Slice of Life",12
20229,Makkuro na Obentou,Movie,Unknown,7.89,"Drama, Historical",1
33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,Special,Original,6.24,"Action, School",1
10869,Scan2Go,TV,Unknown,6.23,"Cars, Kids, Shounen, Space, Sports",52
12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Movie,Unknown,6.14,"Adventure, Kids",1
3981,Shokuzai no Kyoushitsu,OVA,Unknown,5.36,Hentai,2
15813,Majokko Shimai no Yoyo to Nene,Movie,Manga,7.57,"Fantasy, Magic",1
36951,Yuu☆Yuu☆Hakusho Special,Special,Manga,0,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen",1
33462,Bernard-jou Iwaku.,TV,Manga,6.03,"Comedy, School",12
12569,Himitsu no Akko-chan (Movie),Movie,Unknown,6,"Magic, School, Shoujo",1
34908,Calihara no Uta,Movie,Original,5.56,"Music, Kids",1
1586,Aoi Umi no Tristia,OVA,Visual novel,5.81,"Adventure, Mecha",2
1778,Dae Jang Geum: Jang Geum&#039;s Dream,TV,Other,7.22,"Adventure, Comedy, Historical",26
20057,Space☆Dandy,TV,Original,7.88,"Sci-Fi, Space, Comedy",13
18637,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,Movie,Unknown,6.3,"Action, Mecha, Super Power, Sci-Fi, Shounen",1
6828,Ohi-sama to Kaeru,Movie,Original,4.2,Comedy,1
30347,Nanatsu no Taizai OVA,OVA,Manga,7.77,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen",2
14249,Ribbon no Kishi (1999),Movie,Unknown,6.14,Adventure,1
18893,Aoki Hagane no Arpeggio: Ars Nova,TV,Manga,7.5,"Action, Sci-Fi, Seinen",12
35334,ClassicaLoid 2nd Season,TV,Original,6.47,"Music, Comedy",25
36755,Juvenile Pornography The Animation,OVA,Manga,6.49,Hentai,1
3164,Ichigo Ichie: Koibana Tomobana,TV,Unknown,6.81,"Slice of Life, Comedy, School",13
2632,Doraemon: Time Machine de Oshougatsu,Special,Unknown,6.84,"Sci-Fi, Adventure, Comedy, Kids, Shounen",1
2199,Chirin no Suzu,Movie,Picture book,7.17,"Adventure, Drama, Fantasy",1
1286,MD Geist II: Death Force,OVA,Unknown,5.13,"Mecha, Military, Sci-Fi",1
34561,Re:Creators,TV,Original,7.69,"Action, Sci-Fi, Fantasy",22
515,Hajimari no Boukensha-tachi: Legend of Crystania,Movie,Unknown,6.12,"Action, Adventure, Fantasy, Magic, Supernatural",1
33907,Magical Music Train,Music,Music,4.7,Music,1
